id,removed,n_removed,n_changed,ranking_score,decision_accuracy,decision_weighted_f1,mean_case_score,delta_rank,delta_rank_low,delta_rank_high,dev_accuracy,val_accuracy,spokesperson
full,,0,0,0.7783863062229879,0.9027777777777778,,0.6669897762345679,,,,0.92,0.8636363636363636,"{""expert_five"": 1, ""expert_one"": 68, ""expert_three"": 3}"
drop_expert_one,expert_one,1,3,0.7957413706223229,0.9166666666666666,,0.6769714506172839,-0.017355064399335096,-0.0650222730043069,0.026326431662081387,0.94,0.8636363636363636,"{""expert_five"": 72}"
drop_expert_two,expert_two,1,3,0.7431225887345679,0.8611111111111112,,0.6372868441358025,0.03526371748841994,0.0,0.08115961892892051,0.88,0.8181818181818182,"{""expert_five"": 1, ""expert_one"": 71}"
drop_expert_three,expert_three,1,3,0.7431225887345679,0.8611111111111112,,0.6372868441358025,0.03526371748841994,0.0,0.08115961892892051,0.88,0.8181818181818182,"{""expert_five"": 1, ""expert_one"": 71}"
drop_expert_four,expert_four,1,3,0.7431225887345679,0.8611111111111112,,0.6372868441358025,0.03526371748841994,0.0,0.08115961892892051,0.88,0.8181818181818182,"{""expert_five"": 1, ""expert_one"": 71}"
drop_expert_five,expert_five,1,3,0.7431225887345679,0.8611111111111112,,0.6372868441358025,0.03526371748841994,0.0,0.08115961892892051,0.88,0.8181818181818182,"{""expert_one"": 72}"
drop_expert_one+expert_two,"expert_one,expert_two",2,3,0.7957413706223229,0.9166666666666666,,0.6769714506172839,-0.017355064399335096,-0.0650222730043069,0.026326431662081387,0.94,0.8636363636363636,"{""expert_five"": 72}"
drop_expert_one+expert_three,"expert_one,expert_three",2,3,0.7957413706223229,0.9166666666666666,,0.6769714506172839,-0.017355064399335096,-0.0650222730043069,0.026326431662081387,0.94,0.8636363636363636,"{""expert_five"": 72}"
drop_expert_four+expert_one,"expert_four,expert_one",2,3,0.7957413706223229,0.9166666666666666,,0.6769714506172839,-0.017355064399335096,-0.0650222730043069,0.026326431662081387,0.94,0.8636363636363636,"{""expert_five"": 72}"
drop_expert_five+expert_one,"expert_five,expert_one",2,3,0.7431225887345679,0.8611111111111112,,0.6372868441358025,0.03526371748841994,0.0,0.08115961892892051,0.88,0.8181818181818182,"{""structured_fallback"": 72}"
drop_expert_three+expert_two,"expert_three,expert_two",2,3,0.7431225887345679,0.8611111111111112,,0.6372868441358025,0.03526371748841994,0.0,0.08115961892892051,0.88,0.8181818181818182,"{""expert_five"": 1, ""expert_one"": 71}"
drop_expert_four+expert_two,"expert_four,expert_two",2,3,0.7431225887345679,0.8611111111111112,,0.6372868441358025,0.03526371748841994,0.0,0.08115961892892051,0.88,0.8181818181818182,"{""expert_five"": 1, ""expert_one"": 71}"
drop_expert_five+expert_two,"expert_five,expert_two",2,3,0.7431225887345679,0.8611111111111112,,0.6372868441358025,0.03526371748841994,0.0,0.08115961892892051,0.88,0.8181818181818182,"{""expert_one"": 72}"
drop_expert_four+expert_three,"expert_four,expert_three",2,3,0.7431225887345679,0.8611111111111112,,0.6372868441358025,0.03526371748841994,0.0,0.08115961892892051,0.88,0.8181818181818182,"{""expert_five"": 1, ""expert_one"": 71}"
drop_expert_five+expert_three,"expert_five,expert_three",2,3,0.7431225887345679,0.8611111111111112,,0.6372868441358025,0.03526371748841994,0.0,0.08115961892892051,0.88,0.8181818181818182,"{""expert_one"": 72}"
drop_expert_five+expert_four,"expert_five,expert_four",2,3,0.7431225887345679,0.8611111111111112,,0.6372868441358025,0.03526371748841994,0.0,0.08115961892892051,0.88,0.8181818181818182,"{""expert_one"": 72}"
drop_expert_one+expert_three+expert_two,"expert_one,expert_three,expert_two",3,3,0.7957413706223229,0.9166666666666666,,0.6769714506172839,-0.017355064399335096,-0.0650222730043069,0.026326431662081387,0.94,0.8636363636363636,"{""expert_five"": 72}"
drop_expert_four+expert_one+expert_two,"expert_four,expert_one,expert_two",3,3,0.7957413706223229,0.9166666666666666,,0.6769714506172839,-0.017355064399335096,-0.0650222730043069,0.026326431662081387,0.94,0.8636363636363636,"{""expert_five"": 72}"
drop_expert_five+expert_one+expert_two,"expert_five,expert_one,expert_two",3,3,0.7431225887345679,0.8611111111111112,,0.6372868441358025,0.03526371748841994,0.0,0.08115961892892051,0.88,0.8181818181818182,"{""structured_fallback"": 72}"
drop_expert_four+expert_one+expert_three,"expert_four,expert_one,expert_three",3,3,0.7957413706223229,0.9166666666666666,,0.6769714506172839,-0.017355064399335096,-0.0650222730043069,0.026326431662081387,0.94,0.8636363636363636,"{""expert_five"": 72}"
drop_expert_five+expert_one+expert_three,"expert_five,expert_one,expert_three",3,3,0.7431225887345679,0.8611111111111112,,0.6372868441358025,0.03526371748841994,0.0,0.08115961892892051,0.88,0.8181818181818182,"{""structured_fallback"": 72}"
drop_expert_five+expert_four+expert_one,"expert_five,expert_four,expert_one",3,3,0.7431225887345679,0.8611111111111112,,0.6372868441358025,0.03526371748841994,0.0,0.08115961892892051,0.88,0.8181818181818182,"{""structured_fallback"": 72}"
