mode,bucket,step,n,hits,accuracy,delta_ranking_a0_minus_yes,ci_low_ranking,ci_high_ranking
honest,ALL,cohort,52,49,0.9423076923076923,,,
honest,ALL,grade,12,10,0.8333333333333334,,,
honest,ALL,vote,27,15,0.5555555555555556,,,
honest,None,cohort,24,24,1.0,,,
honest,None,grade,0,0,0.0,,,
honest,None,vote,0,0,0.0,,,
honest,Negative,cohort,18,16,0.8888888888888888,,,
honest,Negative,grade,0,0,0.0,,,
honest,Negative,vote,0,0,0.0,,,
honest,Positive,cohort,10,9,0.9,,,
honest,Positive,grade,12,10,0.8333333333333334,,,
honest,Positive,vote,27,15,0.5555555555555556,,,
honest,ALL,vote_yes_constant,27,18,0.6666666666666666,-0.08289609053497948,-0.2173851350448573,0.031718071332273556
deployed,ALL,cohort,52,49,0.9423076923076923,,,
deployed,ALL,grade,12,10,0.8333333333333334,,,
deployed,ALL,vote,27,24,0.8888888888888888,,,
deployed,None,cohort,24,24,1.0,,,
deployed,None,grade,0,0,0.0,,,
deployed,None,vote,0,0,0.0,,,
deployed,Negative,cohort,18,16,0.8888888888888888,,,
deployed,Negative,grade,0,0,0.0,,,
deployed,Negative,vote,0,0,0.0,,,
deployed,Positive,cohort,10,9,0.9,,,
deployed,Positive,grade,12,10,0.8333333333333334,,,
deployed,Positive,vote,27,24,0.8888888888888888,,,
deployed,ALL,vote_yes_constant,27,18,0.6666666666666666,0.15915505961802257,0.058147410761259566,0.2781423342692847
