mode,mask,coalition,on_M1,on_M2,on_M3,on_M4,on_E1,on_E3,ranking,gate,f1_yes,confidence_score,variable_weight_score,important_decisive_factor_score,tool_score,section_grounding_score
honest,0,none,0,0,0,0,0,0,0.596579755714371,0.6153846153846154,0.7619047619047619,0.25892857142857145,0.8422619047619049,0.7659879802736945,0.8660714285714286,0.8397108843537415
honest,1,M1,1,0,0,0,0,0,0.6477417187513341,0.6593406593406593,0.7832167832167832,0.6083333333333333,0.8388888888888889,0.759485606985607,0.8638888888888889,0.8392857142857143
honest,2,M2,0,1,0,0,0,0,0.6237569535165689,0.6483516483516484,0.7777777777777778,0.3644067796610169,0.840677966101695,0.7661166517098721,0.8686440677966102,0.8397901533494755
honest,3,M1+M2,1,1,0,0,0,0,0.6753740170086324,0.6923076923076923,0.8,0.6904761904761905,0.8375661375661375,0.7599157456300314,0.8664021164021164,0.8393801965230536
honest,4,M3,0,0,1,0,0,0,0.6567944428588028,0.7032967032967034,0.8029197080291971,0.3671875,0.8413773148148148,0.771963193056943,0.8671875,0.8396577380952381
honest,5,M1+M3,1,0,1,0,0,0,0.7093743758116228,0.7472527472527473,0.8270676691729323,0.6691176470588235,0.8384531590413944,0.7658743217566747,0.8651960784313726,0.8392857142857143
honest,6,M2+M3,0,1,1,0,0,0,0.685023039903924,0.7362637362637363,0.8208955223880597,0.4552238805970149,0.8400221116639027,0.7718089538985061,0.8694029850746269,0.8397299218194741
honest,7,M1+M2+M3,1,1,1,0,0,0,0.7381581541677695,0.7802197802197802,0.8461538461538461,0.7394366197183099,0.8372978612415233,0.7659860483804146,0.8673708920187794,0.8393695506371562
honest,8,M4,0,0,0,1,0,0,0.647346320067892,0.6923076923076923,0.7971014492753623,0.3253968253968254,0.8444444444444444,0.7721812578955437,0.873015873015873,0.8412698412698413
honest,9,M1+M4,1,0,0,1,0,0,0.699749309005193,0.7362637362637363,0.8208955223880597,0.6343283582089553,0.8412935323383085,0.7659884891228176,0.8706467661691543,0.8407960199004976
honest,10,M2+M4,0,1,0,1,0,0,0.6754436927033081,0.7252747252747253,0.8148148148148148,0.4166666666666667,0.842929292929293,0.7720147697420424,0.875,0.8412698412698413
honest,11,M1+M2+M4,1,1,0,1,0,0,0.7283895659211279,0.7692307692307693,0.8396946564885496,0.7071428571428572,0.8400000000000001,0.7660969189540617,0.8726190476190476,0.8408163265306123
honest,12,M3+M4,0,0,1,1,0,0,0.7019746767924318,0.7692307692307693,0.8372093023255814,0.40714285714285714,0.8430687830687832,0.7736819529676673,0.8714285714285714,0.841156462585034
honest,13,M1+M3+M4,1,0,1,1,0,0,0.7558759780105935,0.8131868131868132,0.864,0.6824324324324325,0.8402902902902903,0.767993867993868,0.8693693693693693,0.8407335907335908
honest,14,M2+M3+M4,0,1,1,1,0,0,0.7311821440667594,0.8021978021978022,0.8571428571428571,0.4863013698630137,0.8417554540842213,0.773469757031401,0.8732876712328768,0.8411611219830398
honest,15,M1+M2+M3+M4,1,1,1,1,0,0,0.7857396186959553,0.8461538461538461,0.8852459016393442,0.7467532467532467,0.8391534391534392,0.7680143089233998,0.8712121212121211,0.8407544836116265
honest,16,E1,0,0,0,0,1,0,0.6214173157617852,0.6153846153846154,0.7445255474452555,0.7678571428571429,0.8380952380952381,0.751900678686393,0.8541666666666667,0.8388605442176871
honest,17,M1+E1,1,0,0,0,1,0,0.6380060377656531,0.6373626373626373,0.7555555555555555,0.7931034482758621,0.8385057471264368,0.7536824286824287,0.8591954022988506,0.8386699507389163
honest,18,M2+E1,0,1,0,0,1,0,0.6421927962807699,0.6483516483516484,0.7611940298507462,0.7542372881355932,0.8367231638418079,0.7527456535931112,0.8573446327683616,0.8389830508474576
honest,19,M1+M2+E1,1,1,0,0,1,0,0.659033135667751,0.6703296703296703,0.7727272727272727,0.7786885245901639,0.8371584699453553,0.7544120724448593,0.8620218579234973,0.8387978142076502
honest,20,M3+E1,0,0,1,0,1,0,0.6741570857917012,0.6923076923076923,0.78125,0.8015873015873016,0.8383303938859494,0.7611125206363302,0.8544973544973545,0.8390022675736962
honest,21,M1+M3+E1,1,0,1,0,1,0,0.6914312005658159,0.7142857142857143,0.7936507936507936,0.823076923076923,0.8386894586894588,0.7624189485727947,0.858974358974359,0.8388278388278388
honest,22,M2+M3+E1,0,1,1,0,1,0,0.6959733251079405,0.7252747252747253,0.8,0.7878787878787878,0.8370931537598204,0.7614491569037024,0.8573232323232324,0.8391053391053391
honest,23,M1+M2+M3+E1,1,1,1,0,1,0,0.7135511080973089,0.7472527472527473,0.8130081300813008,0.8088235294117647,0.8374727668845316,0.7626880472468708,0.8615196078431373,0.8389355742296919
honest,24,M4+E1,0,0,0,1,1,0,0.6650844970970196,0.6813186813186813,0.7751937984496124,0.7741935483870968,0.8403225806451613,0.7611590918042531,0.8602150537634409,0.8402457757296466
honest,25,M1+M4+E1,1,0,0,1,1,0,0.682262103222506,0.7032967032967034,0.7874015748031497,0.796875,0.8406250000000001,0.7624844773282273,0.8645833333333334,0.8400297619047619
honest,26,M2+M4+E1,0,1,0,1,1,0,0.6867542340138494,0.7142857142857143,0.7936507936507936,0.7615384615384615,0.8389743589743589,0.7614987576526038,0.8628205128205129,0.8402930402930403
honest,27,M1+M2+M4+E1,1,1,0,1,1,0,0.7042283615887834,0.7362637362637363,0.8064516129032258,0.7835820895522388,0.8393034825870647,0.7627546582770464,0.8669154228855722,0.8400852878464818
honest,28,M3+M4+E1,0,0,1,1,1,0,0.7116910354279236,0.7472527472527473,0.8099173553719008,0.8014705882352942,0.8399237472766884,0.7652281541987423,0.857843137254902,0.8403361344537815
