id,mode,family,label,is_a0_value,n,ranking,gate,f1_yes,delta_ranking,delta_gate,delta_f1_yes,spec,confidence_score,variable_weight_score,important_decisive_factor_score,tool_score,section_grounding_score
S-T-0.35,honest,threshold,"sensibilidad, no ablacion",False,91,0.7804418048605111,0.8351648351648352,0.8760330578512396,-0.019735088144178903,-0.02197802197802201,-0.021332203150384976,"{""closed_documents"": [], ""cohort_negative"": true, ""cohort_none"": true, ""cohort_positive_age"": true, ""cohort_positive_pirads"": true, ""cohort_positive_psa"": true, ""confidence_policy"": ""agreement"", ""form_weights"": ""trace"", ""fusion"": true, ""fusion_mult"": 1.5, ""grade_ge2"": true, ""grade_gg1"": true, ""grounding"": ""default"", ""id"": ""S-T-0.35"", ""library"": true, ""library_weight"": 0.0, ""plan"": ""trace"", ""psa"": true, ""structured"": true, ""threshold"": 0.35, ""tiers"": [[""firm"", 3.0], [""supports"", 2.0], [""discuss"", 1.0]], ""weights_policy"": ""model+mode""}",0.7894736842105263,0.8387914230019493,0.7668415648678807,0.8695175438596491,0.8405388471177945
S-T-0.40,honest,threshold,"sensibilidad, no ablacion",False,91,0.780038802114594,0.8351648351648352,0.8739495798319328,-0.01933208539826181,-0.02197802197802201,-0.019248725131078115,"{""closed_documents"": [], ""cohort_negative"": true, ""cohort_none"": true, ""cohort_positive_age"": true, ""cohort_positive_pirads"": true, ""cohort_positive_psa"": true, ""confidence_policy"": ""agreement"", ""form_weights"": ""trace"", ""fusion"": true, ""fusion_mult"": 1.5, ""grade_ge2"": true, ""grade_gg1"": true, ""grounding"": ""default"", ""id"": ""S-T-0.40"", ""library"": true, ""library_weight"": 0.0, ""plan"": ""trace"", ""psa"": true, ""structured"": true, ""threshold"": 0.4, ""tiers"": [[""firm"", 3.0], [""supports"", 2.0], [""discuss"", 1.0]], ""weights_policy"": ""model+mode""}",0.7960526315789473,0.8396686159844055,0.7682513393039708,0.8662280701754386,0.8408521303258145
S-T-0.45,honest,threshold,"sensibilidad, no ablacion",True,91,0.7607067167163322,0.8131868131868132,0.8547008547008547,0.0,0.0,0.0,"{""closed_documents"": [], ""cohort_negative"": true, ""cohort_none"": true, ""cohort_positive_age"": true, ""cohort_positive_pirads"": true, ""cohort_positive_psa"": true, ""confidence_policy"": ""agreement"", ""form_weights"": ""trace"", ""fusion"": true, ""fusion_mult"": 1.5, ""grade_ge2"": true, ""grade_gg1"": true, ""grounding"": ""default"", ""id"": ""S-T-0.45"", ""library"": true, ""library_weight"": 0.0, ""plan"": ""trace"", ""psa"": true, ""structured"": true, ""threshold"": 0.45, ""tiers"": [[""firm"", 3.0], [""supports"", 2.0], [""discuss"", 1.0]], ""weights_policy"": ""model+mode""}",0.7905405405405406,0.8393893893893893,0.7668677418677419,0.865990990990991,0.8404118404118404
S-T-0.50,honest,threshold,"sensibilidad, no ablacion",False,91,0.7514248443741149,0.8021978021978022,0.8448275862068966,0.009281872342217223,0.01098901098901095,0.009873268493958087,"{""closed_documents"": [], ""cohort_negative"": true, ""cohort_none"": true, ""cohort_positive_age"": true, ""cohort_positive_pirads"": true, ""cohort_positive_psa"": true, ""confidence_policy"": ""agreement"", ""form_weights"": ""trace"", ""fusion"": true, ""fusion_mult"": 1.5, ""grade_ge2"": true, ""grade_gg1"": true, ""grounding"": ""default"", ""id"": ""S-T-0.50"", ""library"": true, ""library_weight"": 0.0, ""plan"": ""trace"", ""psa"": true, ""structured"": true, ""threshold"": 0.5, ""tiers"": [[""firm"", 3.0], [""supports"", 2.0], [""discuss"", 1.0]], ""weights_policy"": ""model+mode""}",0.7945205479452054,0.8390157280568239,0.766413875317985,0.8641552511415526,0.8401826484018265
S-T-0.55,honest,threshold,"sensibilidad, no ablacion",False,91,0.7377724844070999,0.7912087912087912,0.8288288288288288,0.022934232309232305,0.02197802197802201,0.02587202587202586,"{""closed_documents"": [], ""cohort_negative"": true, ""cohort_none"": true, ""cohort_positive_age"": true, ""cohort_positive_pirads"": true, ""cohort_positive_psa"": true, ""confidence_policy"": ""agreement"", ""form_weights"": ""trace"", ""fusion"": true, ""fusion_mult"": 1.5, ""grade_ge2"": true, ""grade_gg1"": true, ""grounding"": ""default"", ""id"": ""S-T-0.55"", ""library"": true, ""library_weight"": 0.0, ""plan"": ""trace"", ""psa"": true, ""structured"": true, ""threshold"": 0.55, ""tiers"": [[""firm"", 3.0], [""supports"", 2.0], [""discuss"", 1.0]], ""weights_policy"": ""model+mode""}",0.7916666666666666,0.836059670781893,0.7600280891947558,0.8622685185185186,0.8399470899470899
S-FM-1.0,honest,fusion_mult,"sensibilidad, no ablacion",False,91,0.7607067167163322,0.8131868131868132,0.8547008547008547,0.0,0.0,0.0,"{""closed_documents"": [], ""cohort_negative"": true, ""cohort_none"": true, ""cohort_positive_age"": true, ""cohort_positive_pirads"": true, ""cohort_positive_psa"": true, ""confidence_policy"": ""agreement"", ""form_weights"": ""trace"", ""fusion"": true, ""fusion_mult"": 1.0, ""grade_ge2"": true, ""grade_gg1"": true, ""grounding"": ""default"", ""id"": ""S-FM-1.0"", ""library"": true, ""library_weight"": 0.0, ""plan"": ""trace"", ""psa"": true, ""structured"": true, ""threshold"": 0.45, ""tiers"": [[""firm"", 3.0], [""supports"", 2.0], [""discuss"", 1.0]], ""weights_policy"": ""model+mode""}",0.7905405405405406,0.8393893893893893,0.7668677418677419,0.865990990990991,0.8404118404118404
S-FM-1.5,honest,fusion_mult,"sensibilidad, no ablacion",True,91,0.7607067167163322,0.8131868131868132,0.8547008547008547,0.0,0.0,0.0,"{""closed_documents"": [], ""cohort_negative"": true, ""cohort_none"": true, ""cohort_positive_age"": true, ""cohort_positive_pirads"": true, ""cohort_positive_psa"": true, ""confidence_policy"": ""agreement"", ""form_weights"": ""trace"", ""fusion"": true, ""fusion_mult"": 1.5, ""grade_ge2"": true, ""grade_gg1"": true, ""grounding"": ""default"", ""id"": ""S-FM-1.5"", ""library"": true, ""library_weight"": 0.0, ""plan"": ""trace"", ""psa"": true, ""structured"": true, ""threshold"": 0.45, ""tiers"": [[""firm"", 3.0], [""supports"", 2.0], [""discuss"", 1.0]], ""weights_policy"": ""model+mode""}",0.7905405405405406,0.8393893893893893,0.7668677418677419,0.865990990990991,0.8404118404118404
S-FM-2.0,honest,fusion_mult,"sensibilidad, no ablacion",False,91,0.7607067167163322,0.8131868131868132,0.8547008547008547,0.0,0.0,0.0,"{""closed_documents"": [], ""cohort_negative"": true, ""cohort_none"": true, ""cohort_positive_age"": true, ""cohort_positive_pirads"": true, ""cohort_positive_psa"": true, ""confidence_policy"": ""agreement"", ""form_weights"": ""trace"", ""fusion"": true, ""fusion_mult"": 2.0, ""grade_ge2"": true, ""grade_gg1"": true, ""grounding"": ""default"", ""id"": ""S-FM-2.0"", ""library"": true, ""library_weight"": 0.0, ""plan"": ""trace"", ""psa"": true, ""structured"": true, ""threshold"": 0.45, ""tiers"": [[""firm"", 3.0], [""supports"", 2.0], [""discuss"", 1.0]], ""weights_policy"": ""model+mode""}",0.7905405405405406,0.8393893893893893,0.7668677418677419,0.865990990990991,0.8404118404118404
S-TW-flat,honest,tier_weights,"sensibilidad, no ablacion",False,91,0.77042460593634,0.8241758241758241,0.864406779661017,-0.009717889220007825,-0.01098901098901095,-0.009705924960162315,"{""closed_documents"": [], ""cohort_negative"": true, ""cohort_none"": true, ""cohort_positive_age"": true, ""cohort_positive_pirads"": true, ""cohort_positive_psa"": true, ""confidence_policy"": ""agreement"", ""form_weights"": ""trace"", ""fusion"": true, ""fusion_mult"": 1.5, ""grade_ge2"": true, ""grade_gg1"": true, ""grounding"": ""default"", ""id"": ""S-TW-flat"", ""library"": true, ""library_weight"": 0.0, ""plan"": ""trace"", ""psa"": true, ""structured"": true, ""threshold"": 0.45, ""tiers"": [[""firm"", 1.0], [""supports"", 1.0], [""discuss"", 1.0]], ""weights_policy"": ""model+mode""}",0.7933333333333333,0.8393086419753086,0.7666428386428387,0.8677777777777778,0.8406349206349207
S-TW-default,honest,tier_weights,"sensibilidad, no ablacion",True,91,0.7607067167163322,0.8131868131868132,0.8547008547008547,0.0,0.0,0.0,"{""closed_documents"": [], ""cohort_negative"": true, ""cohort_none"": true, ""cohort_positive_age"": true, ""cohort_positive_pirads"": true, ""cohort_positive_psa"": true, ""confidence_policy"": ""agreement"", ""form_weights"": ""trace"", ""fusion"": true, ""fusion_mult"": 1.5, ""grade_ge2"": true, ""grade_gg1"": true, ""grounding"": ""default"", ""id"": ""S-TW-default"", ""library"": true, ""library_weight"": 0.0, ""plan"": ""trace"", ""psa"": true, ""structured"": true, ""threshold"": 0.45, ""tiers"": [[""firm"", 3.0], [""supports"", 2.0], [""discuss"", 1.0]], ""weights_policy"": ""model+mode""}",0.7905405405405406,0.8393893893893893,0.7668677418677419,0.865990990990991,0.8404118404118404
