blocks,block_names,n_features,nan_rate,cv_auc,ci_lo,ci_hi,cv_balanced_accuracy,cv_brier,cv_ece
ABD,structured+labs+radiology_nlp,75,0.10505494505494506,0.7938775510204081,0.6955855429292929,0.8764186714503849,0.6321428571428571,0.17907013588244777,0.09395908707750888
ABCD,structured+labs+psa_trend+radiology_nlp,94,0.08382043488426467,0.7897959183673469,0.682685322388007,0.8726546902853911,0.6321428571428571,0.18407611438332472,0.07430431519152605
AD,structured+radiology_nlp,58,0.12296324365289883,0.7872448979591836,0.6886080990801171,0.8715176374422758,0.6571428571428571,0.18116612348833258,0.0704056750208368
ABCDE,structured+labs+psa_trend+radiology_nlp+notes,102,0.07756948933419522,0.7862244897959184,0.6812313803376366,0.8707262277951933,0.6339285714285714,0.18149358640660956,0.12142462273878248
ACD,structured+psa_trend+radiology_nlp,77,0.09262166405023547,0.7852040816326531,0.6844256486360303,0.8688834732565384,0.6607142857142857,0.18455294842008776,0.058017590426254415
ABDE,structured+labs+radiology_nlp+notes,83,0.09532636038660135,0.7826530612244899,0.6808726610365955,0.8638117134646256,0.6482142857142857,0.17996846117270932,0.08678859836349302
BCDE,labs+psa_trend+radiology_nlp+notes,63,0.045351473922902494,0.7816326530612244,0.6752079984599331,0.8704146479692657,0.6464285714285715,0.18812266439997266,0.09557729070346839
ACDE,structured+psa_trend+radiology_nlp+notes,85,0.08429217840982547,0.7770408163265307,0.6700507520939832,0.8643065451694406,0.6303571428571428,0.18336475939083643,0.09503863126902388
AB,structured+labs,56,0.10361067503924647,0.7704081632653061,0.6654161013116237,0.860055738596379,0.6142857142857143,0.19354148080806174,0.13001373643186545
ABC,structured+labs+psa_trend,75,0.07736263736263736,0.766326530612245,0.6569405976676386,0.8571051356589148,0.6,0.1977801803798892,0.13413200881893908
A,structured,39,0.1296139757678219,0.7622448979591836,0.657827476998828,0.8543507600490878,0.6160714285714286,0.19341167603659046,0.11461895624083293
AC,structured+psa_trend,58,0.08715422508525957,0.7576530612244898,0.6476458269414925,0.8521600810455843,0.6571428571428571,0.19683350069867633,0.09055502443379843
ABCE,structured+labs+psa_trend+notes,83,0.0703031907851185,0.7561224489795919,0.6464637445887446,0.8515290478752018,0.6571428571428571,0.1964478312488919,0.131487096210243
AE,structured+notes,47,0.1082534486789806,0.7295918367346939,0.6190899189544159,0.8309203904991947,0.6071428571428571,0.19777367195178544,0.09467095042092966
