model,reference,delta,ci_lo,ci_hi,p_value
ABCDE_all_text|extra_trees,rule_eau_psad=A_structured|rule_eau_psad,0.3780612244897959,0.24096854770616385,0.5157818611473272,0.0
A_structured|extra_trees,champion=ABCDE_all_text|extra_trees,-0.023979591836734593,-0.08158285836857265,0.0316961308696857,0.376
A_structured|extra_trees,rule_eau_psad=A_structured|rule_eau_psad,0.3540816326530613,0.21989586624123336,0.48745811385155635,0.0
A_structured|grad_boosting,champion=ABCDE_all_text|extra_trees,-0.013265306122448917,-0.09092803030303023,0.06583129444147107,0.751
A_structured|grad_boosting,rule_eau_psad=A_structured|rule_eau_psad,0.364795918367347,0.22365017144378976,0.5049100282746328,0.0
ABCDE_all_text|random_forest,champion=ABCDE_all_text|extra_trees,-0.048979591836734615,-0.12413647829872178,0.022710935553894918,0.188
ABCDE_all_text|random_forest,rule_eau_psad=A_structured|rule_eau_psad,0.3290816326530613,0.17916176437631656,0.4745604979979977,0.0
ABCDE_all_text|random_forest_calibrated,champion=ABCDE_all_text|extra_trees,-0.05459183673469392,-0.1306293754569617,0.01986373251190052,0.159
ABCDE_all_text|random_forest_calibrated,rule_eau_psad=A_structured|rule_eau_psad,0.323469387755102,0.17166376734791053,0.4710292386185242,0.0
ABCDE_all_text|decision_tree,champion=ABCDE_all_text|extra_trees,-0.0596938775510204,-0.10657672979101547,-0.011650580665411208,0.017
ABCDE_all_text|decision_tree,rule_eau_psad=A_structured|rule_eau_psad,0.3183673469387755,0.18223713202890898,0.46028639527845033,0.0
A_structured|prior_only,champion=ABCDE_all_text|extra_trees,-0.346173469387755,-0.4989326735092864,-0.19127821583178753,0.0
A_structured|prior_only,rule_eau_psad=A_structured|rule_eau_psad,0.03188775510204089,-0.14150187723263108,0.18364747936792267,0.695
A_structured|rule_pirads3,champion=ABCDE_all_text|extra_trees,-0.3770408163265305,-0.5225592737094837,-0.23135770385770393,0.0
A_structured|rule_pirads3,rule_eau_psad=A_structured|rule_eau_psad,0.0010204081632653739,-0.10108607208065408,0.0986240546940646,0.937
A_structured|rule_eau_psad,champion=ABCDE_all_text|extra_trees,-0.3780612244897959,-0.5157818611473273,-0.24096854770616385,0.0
A_structured|logreg_l2,champion=ABCDE_all_text|extra_trees,-0.10306122448979593,-0.18778061224489787,-0.018736917844060688,0.025
A_structured|logreg_l2,rule_eau_psad=A_structured|rule_eau_psad,0.27499999999999997,0.1282664482664482,0.41779766027112086,0.0
ABCDE_all_text|prior_only,champion=ABCDE_all_text|extra_trees,-0.346173469387755,-0.4989326735092864,-0.19127821583178753,0.0
ABCDE_all_text|prior_only,rule_eau_psad=A_structured|rule_eau_psad,0.03188775510204089,-0.14150187723263108,0.18364747936792267,0.695
ABCDE_all_text|rule_pirads3,champion=ABCDE_all_text|extra_trees,-0.3770408163265305,-0.5225592737094837,-0.23135770385770393,0.0
ABCDE_all_text|rule_pirads3,rule_eau_psad=A_structured|rule_eau_psad,0.0010204081632653739,-0.10108607208065408,0.0986240546940646,0.937
ABCDE_all_text|rule_eau_psad,champion=ABCDE_all_text|extra_trees,-0.3780612244897959,-0.5157818611473273,-0.24096854770616385,0.0
ABCDE_all_text|rule_eau_psad,rule_eau_psad=A_structured|rule_eau_psad,0.0,0.0,0.0,1.0
ABCDE_all_text|logreg_l2,champion=ABCDE_all_text|extra_trees,-0.11377551020408161,-0.20322614352647725,-0.025018594445839166,0.012
ABCDE_all_text|logreg_l2,rule_eau_psad=A_structured|rule_eau_psad,0.2642857142857143,0.1004676212590299,0.4126507252264451,0.001
