feature_set,model,n_features,cv_auc,cv_auc_ci_lo,cv_auc_ci_hi,cv_auc_sd_across_repeats,cv_balanced_accuracy,cv_bal_acc_ci_lo,cv_bal_acc_ci_hi,cv_sensitivity,cv_specificity,cv_brier,cv_ece,loo_auc,loo_balanced_accuracy,loo_brier,loo_ece
ABCDE_all_text,extra_trees,102,0.7816326530612244,0.6782325822722567,0.8718749705818671,0.016422707788669857,0.6339285714285714,0.5389576883384933,0.7355561698363555,0.8392857142857143,0.42857142857142855,0.1827963553647647,0.1213343938664557,0.7816326530612245,0.625,0.1825807046039927,0.08701478093024437
A_structured,grad_boosting,39,0.7683673469387755,0.6677940857828369,0.8615206711160548,0.032161033085804105,0.6767857142857143,0.5823283934381254,0.7756420765027321,0.8392857142857143,0.5142857142857142,0.20044813941869324,0.1196468151250739,0.6857142857142857,0.6553571428571429,0.2376171219040057,0.17096872728750348
A_structured,extra_trees,39,0.7576530612244898,0.6525664025008499,0.8538709197363041,0.022055264420799556,0.625,0.5296540211168876,0.7267990301218654,0.8214285714285714,0.42857142857142855,0.19451049327952646,0.11450445402000688,0.7443877551020408,0.6303571428571428,0.1993687705118311,0.11382365862962228
ABCDE_all_text,random_forest,102,0.7326530612244898,0.6241169962532193,0.8291980630535745,0.032247925135609166,0.6410714285714285,0.5519512195121952,0.729713474025974,0.9107142857142857,0.37142857142857144,0.20543556501843482,0.07646089290741408,0.7403061224489796,0.6321428571428571,0.2017364850922287,0.04942508392096304
ABCDE_all_text,random_forest_calibrated,102,0.7270408163265305,0.6158674217731421,0.8270704100472875,0.042256394087333775,0.6464285714285714,0.545145172494326,0.7444966832157234,0.75,0.5428571428571428,0.20477900238571003,0.08344108685692235,0.7219387755102041,0.6607142857142857,0.21091136083833453,0.11226368753708839
ABCDE_all_text,decision_tree,102,0.721938775510204,0.6142019213819848,0.821841572836031,0.05239078006578742,0.6214285714285714,0.526629876349704,0.72256221719457,0.7857142857142857,0.45714285714285713,0.20408658943522864,0.07952157600844106,0.6829081632653061,0.6982142857142857,0.23038966186835455,0.15607258883800884
A_structured,logreg_l2,39,0.6785714285714285,0.5565635074145712,0.7877660856009069,0.04596952932094445,0.6035714285714285,0.502964254193106,0.7066315747656124,0.75,0.45714285714285713,0.2553125366001959,0.20968987530491862,0.6392857142857142,0.5339285714285714,0.28982960170438926,0.29200551359871296
ABCDE_all_text,logreg_l2,102,0.6678571428571428,0.5464042207792208,0.7777822580645162,0.03695903013299337,0.5517857142857143,0.4539108950031625,0.6532587903582485,0.7321428571428571,0.37142857142857144,0.27044914989242214,0.23982555264536976,0.6403061224489796,0.5392857142857144,0.3367239875224381,0.3303860775666625
ABCDE_all_text,prior_only,102,0.4354591836734694,0.3083173076923077,0.5576114851011477,1.6653345369377348e-16,0.5,0.5,0.5,1.0,0.0,0.23672263539624522,5.854115443149066e-05,0.0,0.5,0.24197530864197533,0.0
A_structured,prior_only,39,0.4354591836734694,0.3083173076923077,0.5576114851011477,1.6653345369377348e-16,0.5,0.5,0.5,1.0,0.0,0.23672263539624522,5.854115443149066e-05,0.0,0.5,0.24197530864197533,0.0
ABCDE_all_text,rule_pirads3,102,0.4045918367346939,0.2837869256426993,0.5381424027291166,0.011770485290742781,0.5714285714285714,0.5161164314516129,0.6363636363636364,1.0,0.14285714285714285,0.21746134109695628,0.014808873703993706,0.1428571428571429,0.5714285714285714,0.2211699979238624,0.01244158140709866
A_structured,rule_pirads3,39,0.4045918367346939,0.2837869256426993,0.5381424027291166,0.011770485290742781,0.5714285714285714,0.5161164314516129,0.6363636363636364,1.0,0.14285714285714285,0.21746134109695628,0.014808873703993706,0.1428571428571429,0.5714285714285714,0.2211699979238624,0.01244158140709866
A_structured,rule_eau_psad,39,0.4035714285714285,0.2786782684323668,0.5397297502275255,0.014334481947712238,0.6053571428571428,0.5370702108017641,0.6824277605779152,0.9821428571428571,0.22857142857142856,0.21216590452806844,0.019236649469453145,0.2244897959183673,0.6053571428571428,0.21626541117468687,0.031179663709784092
ABCDE_all_text,rule_eau_psad,102,0.4035714285714285,0.2786782684323668,0.5397297502275255,0.014334481947712238,0.6053571428571428,0.5370702108017641,0.6824277605779152,0.9821428571428571,0.22857142857142856,0.21216590452806844,0.019236649469453145,0.2244897959183673,0.6053571428571428,0.21626541117468687,0.031179663709784092
