feature,auc_drop
bx_positive,0.07186147186147186
pirads_ge4,0.035779220779220786
bx_none,0.03497835497835498
pmhx_hypercholesterolaemia,0.024329004329004335
dre_suspicious,0.023982683982684
n_comorbidities,0.01320346320346322
bmi,0.009393939393939402
pirads_ge3,0.007012987012987026
pirads,0.005930735930735919
age,0.005562770562770574
log_psa,0.0038528138528138634
pmhx_coronary_artery_disease,0.0035930735930736037
cspca,0.002402597402597395
psav,0.0016883116883117124
log_vol,0.0016883116883117054
pmhx_hypertension,0.0013636363636363713
psa_ratio_prev,0.000714285714285727
psad_calc,0.0004761904761904812
pmhx_benign_prostatic_hyperplasia,0.0002597402597402664
log_psad,0.00023809523809524392
vol,0.0002164502164502244
ipss,-0.00010822510822509302
on_alpha_blocker,-0.00019480519480519608
psa_delta_prev,-0.00034632034632032344
psad,-0.0010389610389610327
bx_negative,-0.002380952380952375
comorbidity_reported,-0.0029220779220779057
pmhx_obesity_bmi_30,-0.0034632034632034415
pmhx_type_2_diabetes,-0.0034848484848484596
psa_prev,-0.003528138528138518
psa,-0.003874458874458868
pmhx_atrial_fibrillation,-0.004480519480519474
months_since_mri,-0.005735930735930724
pmhx_osteoarthritis,-0.006341991341991346
psav_positive,-0.007251082251082233
n_meds,-0.009653679653679657
pmhx_chronic_kidney_disease,-0.010649350649350645
charlson_like,-0.011168831168831161
pmhx_copd,-0.011861471861471842
