feature,auc_drop
bx_positive,0.0608008658008658
bx_none,0.02820346320346322
fpsa_lt15,0.021320346320346316
rad_dwi_restriction,0.01733766233766234
rad_lesion_ge15mm,0.011818181818181835
dre_suspicious,0.010367965367965384
rad_dwi_severity,0.009545454545454562
log_vol,0.005216450216450219
psa_delta_prev,0.0047186147186147175
pirads_ge4,0.004632034632034656
n_comorbidities,0.003852813852813857
log_psa,0.0038311688311688276
lab_psa,0.003722943722943719
lab_free_psa,0.0034415584415584386
vol,0.0031818181818181897
lab_pct_free_psa,0.0026623376623376646
on_alpha_blocker,0.00231601731601732
lab_haemoglobin,0.0017316017316017327
psa_prev,0.0017099567099567261
rad_t2_severity,0.0016666666666666694
bmi,0.0013419913419913377
psav,0.0012554112554112496
psa,0.0009523809523809557
rad_epe,0.0005194805194805197
rad_zone_peripheral,0.00025974025974025985
psad_calc,0.00015151515151512474
lab_anaemia,0.0
rad_has_measurement,0.0
rad_loc_apex,0.0
rad_bilateral,0.0
rad_adverse_count,0.0
lab_testosterone,-2.164502164503819e-05
rad_bph_nodularity,-4.329004329004958e-05
months_since_mri,-0.0001082251082250997
pmhx_chronic_kidney_disease,-0.0002597402597402532
psav_positive,-0.0005194805194805153
pmhx_hypercholesterolaemia,-0.0008441558441558387
age,-0.001060606060606053
rad_zone_transition,-0.0010606060606060664
rad_report_len_chars,-0.0011038961038961025
psa_ratio_prev,-0.0012121212121212178
log_psad,-0.001666666666666683
lab_n_flagged,-0.0017316017316017173
pmhx_coronary_artery_disease,-0.0018398268398268415
rad_loc_base,-0.0019480519480519654
pirads_ge3,-0.0020779220779220545
bx_negative,-0.00209956709956709
rad_lesion_max_mm,-0.0022727272727272553
lab_wbc,-0.002272727272727278
lab_platelets,-0.002467532467532461
n_meds,-0.0024891774891774875
pmhx_type_2_diabetes,-0.002510822510822508
pmhx_hypertension,-0.0025974025974025983
log_lab_alp,-0.0026406926406926544
log_lab_ldh,-0.0026839826839826775
cspca,-0.0027056277056277133
lab_hba1c,-0.002900432900432881
rad_loc_mid,-0.0029437229437229416
ipss,-0.0033333333333333396
lab_creatinine,-0.003376623376623378
pmhx_atrial_fibrillation,-0.0035930735930735994
lab_n_reported,-0.0036363636363636194
psad,-0.003658008658008669
rad_adverse_reported,-0.0037012987012987027
pirads,-0.0037878787878787763
lab_alp,-0.0039177489177489155
rad_dce_early_focal,-0.0043939393939393745
charlson_like,-0.004545454545454539
comorbidity_reported,-0.004935064935064934
pmhx_benign_prostatic_hyperplasia,-0.005064935064935054
pmhx_obesity_bmi_30,-0.0053246753246753275
lab_ldh,-0.005367965367965374
pmhx_osteoarthritis,-0.005865800865800861
pmhx_copd,-0.005995670995670994
rad_lesion_vol_ml,-0.006233766233766215
