feature,auc_drop
bx_positive,0.05906926406926406
bx_none,0.02885281385281386
fpsa_lt15,0.025974025974025962
rad_dwi_severity,0.014069264069264087
dre_suspicious,0.013506493506493512
rad_lesion_ge15mm,0.011580086580086588
pirads_ge4,0.011363636363636376
lab_pct_free_psa,0.008354978354978348
rad_dwi_restriction,0.008333333333333335
lab_haemoglobin,0.005541125541125549
e2_direction_is_clear,0.003917748917748918
n_comorbidities,0.0036363636363636424
rad_report_len_chars,0.0034848484848484865
pmhx_benign_prostatic_hyperplasia,0.003419913419913427
bx_negative,0.0029870129870130002
lab_free_psa,0.00285714285714286
lab_n_flagged,0.002619047619047634
pmhx_hypercholesterolaemia,0.002445887445887438
rad_t2_severity,0.00235930735930737
lab_testosterone,0.002337662337662325
lab_psa,0.002099567099567101
log_psa,0.0018614718614718639
pmhx_osteoarthritis,0.0018181818181818208
comorbidity_reported,0.0018181818181818188
pmhx_atrial_fibrillation,0.0016233766233766313
lab_platelets,0.001558441558441568
rad_lesion_vol_ml,0.0014069264069264274
cspca,0.0012121212121212245
charlson_like,0.0011688311688311747
lab_wbc,0.001103896103896118
log_psad,0.0008441558441558538
psad_calc,0.0008008658008658066
pmhx_obesity_bmi_30,0.0007792207792207817
pmhx_hypertension,0.0006709956709956822
rad_zone_peripheral,0.0005194805194805219
rad_has_measurement,0.0005194805194805197
n_meds,0.00036796536796537686
age,0.00034632034632035673
rad_loc_mid,0.0003463203463203479
on_alpha_blocker,0.00030303030303030276
psav,0.00025974025974025985
psa_prev,6.493506493506773e-05
lab_anaemia,0.0
rad_bilateral,0.0
rad_adverse_count,0.0
rad_epe,-0.00023809523809523725
rad_bph_nodularity,-0.000259740259740262
e2_log_projected_psa,-0.00034632034632033906
e2_log_change_vs_last,-0.0006277056277056191
e2_projected_over_last,-0.0006277056277056213
psa,-0.0006709956709956665
lab_hba1c,-0.0007359307359307299
psa_ratio_prev,-0.0007792207792207773
psad,-0.0008441558441558339
lab_alp,-0.0008874458874458854
vol,-0.00101731601731603
pirads_ge3,-0.0010389610389610194
log_vol,-0.0012337662337662514
lab_ldh,-0.001298701298701279
log_lab_ldh,-0.001298701298701279
e2_fit_r2_log,-0.001341991341991331
psa_delta_prev,-0.001450216450216446
lab_n_reported,-0.0017316017316017264
pmhx_coronary_artery_disease,-0.0024242424242424177
lab_creatinine,-0.0025541125541125374
rad_zone_transition,-0.002640692640692635
rad_adverse_reported,-0.002748917748917745
rad_dce_early_focal,-0.002813852813852811
rad_loc_apex,-0.002857142857142836
pirads,-0.0029220779220779057
pmhx_type_2_diabetes,-0.0030519480519480345
months_since_mri,-0.0030952380952380823
psav_positive,-0.0031168831168830956
bmi,-0.003160173160173145
ipss,-0.00324675324675324
pmhx_chronic_kidney_disease,-0.0035714285714285566
log_lab_alp,-0.0037445887445887436
pmhx_copd,-0.00538961038961038
rad_loc_base,-0.007402597402597408
rad_lesion_max_mm,-0.0077489177489177465
