feature,missing_rate,n_observed
rad_bph_nodularity,0.9120879120879121,8
lab_hba1c,0.7472527472527473,23
rad_lesion_vol_ml,0.6813186813186813,29
n_comorbidities,0.4175824175824176,53
charlson_like,0.4175824175824176,53
pmhx_hypertension,0.4175824175824176,53
pmhx_hypercholesterolaemia,0.4175824175824176,53
pmhx_benign_prostatic_hyperplasia,0.4175824175824176,53
pmhx_osteoarthritis,0.4175824175824176,53
pmhx_chronic_kidney_disease,0.4175824175824176,53
pmhx_type_2_diabetes,0.4175824175824176,53
pmhx_obesity_bmi_30,0.4175824175824176,53
pmhx_copd,0.4175824175824176,53
pmhx_coronary_artery_disease,0.4175824175824176,53
pmhx_atrial_fibrillation,0.4175824175824176,53
rad_dce_early_focal,0.26373626373626374,67
rad_epe,0.08791208791208792,83
rad_lesion_max_mm,0.03296703296703297,88
rad_lesion_ge15mm,0.03296703296703297,88
family_history,0.03296703296703297,88
rad_dwi_restriction,0.02197802197802198,89
rad_dwi_severity,0.02197802197802198,89
rad_adverse_count,0.02197802197802198,89
pirads,0.01098901098901099,90
pirads_ge4,0.01098901098901099,90
pirads_ge3,0.01098901098901099,90
dre_suspicious,0.01098901098901099,90
psa,0.0,91
log_psa,0.0,91
psa_prev,0.0,91
psa_ratio_prev,0.0,91
psa_delta_prev,0.0,91
psav,0.0,91
psav_positive,0.0,91
vol,0.0,91
log_vol,0.0,91
psad,0.0,91
psad_calc,0.0,91
log_psad,0.0,91
age,0.0,91
cspca,0.0,91
months_since_mri,0.0,91
bmi,0.0,91
ipss,0.0,91
comorbidity_reported,0.0,91
n_meds,0.0,91
on_alpha_blocker,0.0,91
bx_none,0.0,91
bx_negative,0.0,91
bx_positive,0.0,91
lab_psa,0.0,91
lab_free_psa,0.0,91
lab_pct_free_psa,0.0,91
lab_haemoglobin,0.0,91
lab_wbc,0.0,91
lab_platelets,0.0,91
lab_creatinine,0.0,91
lab_testosterone,0.0,91
lab_alp,0.0,91
lab_ldh,0.0,91
fpsa_lt15,0.0,91
log_lab_alp,0.0,91
log_lab_ldh,0.0,91
lab_n_flagged,0.0,91
lab_n_reported,0.0,91
lab_anaemia,0.0,91
psa_n_points,0.0,91
psa_span_months,0.0,91
psa_last,0.0,91
psa_first,0.0,91
psa_min,0.0,91
psa_max,0.0,91
psa_last_delta,0.0,91
psa_velocity,0.0,91
psa_slope_log,0.0,91
psa_doubling_time_months,0.0,91
psa_log_resid_sigma,0.0,91
psa_r2_log,0.0,91
psa_monotonic_up,0.0,91
psa_nadir_ratio,0.0,91
proj_psa,0.0,91
proj_psa_lo,0.0,91
proj_psa_hi,0.0,91
proj_rel_halfwidth,0.0,91
proj_direction,0.0,91
rad_t2_severity,0.0,91
rad_has_measurement,0.0,91
rad_zone_peripheral,0.0,91
rad_zone_transition,0.0,91
rad_loc_apex,0.0,91
rad_loc_mid,0.0,91
rad_loc_base,0.0,91
rad_bilateral,0.0,91
rad_adverse_reported,0.0,91
rad_report_len_chars,0.0,91
n_previous_notes,0.0,91
notes_mention_referral,0.0,91
notes_mention_surveillance,0.0,91
notes_mention_rising,0.0,91
enc_prior_pca,0.0,91
enc_prior_negative_bx,0.0,91
enc_followup,0.0,91
