model,mae_log,rmse_log,median_relative_error,r2_log,oof_sd_across_repeats,mae_log_psa_gt50,bias_log_psa_gt50
extra_trees_anchored,0.3151482842017153,0.5508456648897047,0.16099623223220547,0.6002928532688261,0.06616967835008278,1.6596780033738008,1.6596780033738008
extra_trees,0.3207476069754253,0.5600663865990374,0.15620372507453903,0.5867992904710168,0.06324447597180154,1.6904651011760572,1.6904651011760572
random_forest,0.3324765366156187,0.5795890353776549,0.15798213765002822,0.5574907397280929,0.07639111934585811,1.773566878053017,1.773566878053017
random_forest_anchored,0.33434224182295835,0.57392351094629,0.17829134925554965,0.566099576647239,0.06921474775201474,1.9120028192332696,1.9120028192332696
grad_boosting,0.350528581544488,0.5872986884984144,0.21075873436320378,0.5456399866055412,0.1256134566805441,1.9115992487171705,1.9115992487171705
grad_boosting_anchored,0.353372157555152,0.5877006043626484,0.20891378505064587,0.5450178943487727,0.11715669571827697,1.854174300839092,1.854174300839092
huber_anchored,0.35692438699475715,0.5934429723476693,0.19460232907400374,0.5360832811852471,0.054679990713218635,1.8425396847965967,1.8425396847965967
huber,0.3569256960317155,0.5934453935507384,0.19442377982030823,0.5360794956862958,0.054676863940931845,1.8425246587487214,1.8425246587487214
ridge_anchored,0.37694704773966425,0.597453365864248,0.24881909371374517,0.5297919435779427,0.07646458220359384,1.9245819657208756,1.9245819657208756
ridge,0.3784676226216624,0.598612228950579,0.25182025351053705,0.5279660764538447,0.0774565422917093,1.9515527579835803,1.9515527579835803
bayesian_ridge,0.3852049534915907,0.5964499617307811,0.2746238804290259,0.5313700165804451,0.05034085795399031,1.8866199556827739,1.8866199556827739
naive_last_value,0.6177292238184229,0.8217174765996208,0.5483870967741935,0.11053863372294404,5.856203219705081e-17,2.234476038919305,2.234476038919305
loglinear_extrapolation,0.6186172734311842,1.0731553395870541,0.13532216714334805,-0.5170755993345093,5.952938469839982e-19,2.049056103697521,2.049056103697521
