target,n,loo_accuracy_model,majority_baseline,gain,model_kept,hybrid_accuracy
weight::pirads,91,0.7033,0.4945,0.2088,True,0.7033
weight::bx,91,0.6264,0.5055,0.1209,True,0.6264
weight::dre,91,0.7473,0.7033,0.044,True,0.7473
reveal::laboratory_results,91,0.5934,0.5495,0.044,True,0.5934
reveal::radiology_report,91,0.967,0.967,0.0,False,0.967
reveal::family_history,91,1.0,1.0,0.0,False,1.0
reveal::psa_trend,91,0.8571,0.8681,-0.011,False,0.8681
weight::vol,91,0.7363,0.7582,-0.022,False,0.7582
weight::comorbidity,91,0.6703,0.6923,-0.022,False,0.6923
reveal::previous_notes,91,0.8242,0.8462,-0.022,False,0.8462
weight::psa,91,0.5275,0.5604,-0.033,False,0.5604
weight::cspca,89,0.6292,0.6629,-0.0337,False,0.6629
weight::fh,91,0.6154,0.7033,-0.0879,False,0.7033
weight::psad,91,0.4725,0.5714,-0.0989,False,0.5714
confidence,91,0.5275,0.6374,-0.1099,False,0.6374
weight::age,91,0.5055,0.6154,-0.1099,False,0.6154
