vista,bloque,nombre,n_features,accuracy,f1_macro,delta,p
leave_one_out,A,structured,148,0.8611,0.6609,0.0,1.0
leave_one_out,C,psa_trend,165,0.8611,0.6609,0.0,1.0
leave_one_out,D,radiology_nlp,166,0.8611,0.6609,0.0,1.0
leave_one_out,G,grading,158,0.7917,0.6164,-0.0694,0.008
leave_one_out,H,pathology,157,0.8611,0.6609,0.0,1.0
leave_one_out,I,frailty,159,0.8611,0.6609,0.0,1.0
leave_one_out,J,embedding_summary,169,0.8611,0.6609,0.0,1.0
leave_one_out,K,proyeccion_pca,168,0.8611,0.6609,0.0,1.0
block_only,A,structured,38,0.625,0.5085,-0.2361,0.001
block_only,C,psa_trend,19,0.3611,0.2634,-0.5,0.0
block_only,D,radiology_nlp,18,0.5278,0.3608,-0.3333,0.0
block_only,G,grading,28,0.8472,0.6516,-0.0139,0.735
block_only,H,pathology,27,0.8056,0.6253,-0.0556,0.021
block_only,I,frailty,25,0.3889,0.2647,-0.4722,0.0
block_only,J,embedding_summary,15,0.5556,0.383,-0.3056,0.0
block_only,K,proyeccion_pca,16,0.5833,0.3939,-0.2778,0.0
