model,blocks,n_features,accuracy,balanced_accuracy,f1_macro,f1_weighted,brier,ece,acc_lo,acc_hi
grade_rule,AG,64,0.8611,0.6679,0.6609,0.849,0.2781,0.1152,0.7778,0.9444
extra_trees,AG,64,0.8611,0.6679,0.6609,0.849,0.2706,0.0851,0.7778,0.9444
random_forest,AG,64,0.8472,0.6599,0.6523,0.8356,0.2732,0.1001,0.75,0.9306
random_forest_balanced,AG,64,0.8472,0.6599,0.6523,0.8356,0.2835,0.1146,0.75,0.9306
extra_trees_balanced,AG,64,0.8472,0.6599,0.6564,0.8413,0.276,0.0587,0.75,0.9306
logreg_l1,AG,64,0.8194,0.6418,0.6346,0.8083,0.305,0.0799,0.7222,0.9028
lda,AG,64,0.8056,0.6318,0.6285,0.7998,0.3456,0.1797,0.7083,0.8889
grad_boosting,AG,64,0.8056,0.624,0.6209,0.7953,0.3485,0.1625,0.7083,0.8889
logreg_l2,AG,64,0.7917,0.6218,0.615,0.781,0.3115,0.1067,0.6944,0.875
decision_tree,AG,64,0.7917,0.6218,0.6153,0.7804,0.2631,0.1615,0.6944,0.8889
deep_ensemble_mlp,AG,64,0.7917,0.6199,0.6145,0.7788,0.3644,0.0909,0.6944,0.8889
svm_rbf,AG,64,0.7778,0.5922,0.5963,0.7656,0.349,0.0965,0.6667,0.875
logreg_balanced,AG,64,0.7639,0.6038,0.5992,0.7625,0.3238,0.1096,0.6528,0.8476
knn,AG,64,0.7639,0.6038,0.5975,0.753,0.3601,0.1423,0.6528,0.8611
hist_gradient_boosting,AG,64,0.7361,0.568,0.5756,0.7411,0.4003,0.1275,0.625,0.8333
gaussian_nb,AG,64,0.4861,0.4133,0.3696,0.4773,1.0232,0.5123,0.375,0.6111
prior_only,AG,64,0.4306,0.25,0.1505,0.2592,0.6741,0.0,0.3194,0.5417
