arquitectura,bloques,n_features,accuracy,balanced_accuracy,f1_macro,f1_weighted,brier,ece,acc_lo,acc_hi,delta_vs_regla,p
solo_grading,G,28,0.8472,0.6579,0.6516,0.8349,0.2627,0.0337,0.7639,0.9306,-0.0139,0.735
apilado,G+H+I+A+D+C+JK,184,0.8472,0.6579,0.6516,0.8349,0.2881,0.1139,0.7639,0.9306,-0.0139,0.735
solo_pathology,H,27,0.8056,0.6318,0.6253,0.7943,0.3205,0.0862,0.7083,0.8889,-0.0556,0.021
voto_blando,G+H+I+A+D+C+JK,184,0.7639,0.6038,0.5979,0.7527,0.4145,0.2205,0.6663,0.8611,-0.0972,0.0
producto_expertos,G+H+I+A+D+C+JK,184,0.7639,0.5959,0.594,0.7543,0.3651,0.2312,0.6528,0.8611,-0.0972,0.0
solo_clinical,A,38,0.625,0.5134,0.5085,0.6173,0.4803,0.1307,0.5139,0.7361,-0.2361,0.001
solo_embedding,JK,31,0.5833,0.3991,0.3978,0.5541,0.5013,0.0973,0.4722,0.6944,-0.2778,0.0
solo_radiology,D,18,0.5278,0.3668,0.3608,0.5055,0.6279,0.1702,0.4167,0.6389,-0.3333,0.0
solo_frailty,I,25,0.3889,0.2687,0.2647,0.3694,0.7159,0.1159,0.2778,0.5,-0.4722,0.0
solo_psa,C,19,0.3611,0.2624,0.2634,0.3506,0.6775,0.1703,0.25,0.4722,-0.5,0.0
