conjunto,modelo,acc,bal_acc,f1_yes,ranking_proxy,auc,logloss,brier,ece,acc@30%,acc@50%,acc_None,acc_Negative,acc_Positive
A-core (8v),0-dummy,0.6154,0.5,0.7619,0.6253,0.5,7.9705,0.3846,0.3846,0.5926,0.6667,0.833,0.722,0.469
A-core (8v),protocolo + 0-dummy,0.6923,0.6,0.8,0.6748,0.6,6.3764,0.3077,0.3077,0.5926,0.6889,1.0,0.889,0.469
A-core (8v),kNN-5,0.6923,0.6589,0.7627,0.6562,0.7589,0.5768,0.1986,0.0703,0.8889,0.8,0.917,0.778,0.551
A-core (8v),protocolo + kNN-5,0.7363,0.7107,0.7931,0.6888,0.8168,0.8769,0.1719,0.0936,0.9259,0.8889,1.0,0.889,0.551
A-core (8v),kNN-10-dist,0.6593,0.6161,0.7438,0.6337,0.7474,0.56,0.1978,0.1177,0.9259,0.8,0.917,0.778,0.49
A-core (8v),protocolo + kNN-10-dist,0.7033,0.6732,0.7692,0.6638,0.7944,0.8679,0.174,0.0951,0.9259,0.8889,1.0,0.889,0.49
A-core (8v),logreg,0.6154,0.5696,0.7107,0.5997,0.7306,0.6179,0.2095,0.1356,0.8519,0.8,0.875,0.667,0.469
A-core (8v),protocolo + logreg,0.6923,0.6643,0.7586,0.6542,0.8128,0.8835,0.1722,0.1338,0.9259,0.9333,1.0,0.889,0.469
A-core (8v),RF,0.6923,0.6536,0.7667,0.6582,0.7867,0.5443,0.1851,0.1208,0.963,0.8,0.875,0.778,0.571
A-core (8v),protocolo + RF,0.7473,0.7143,0.8067,0.7,0.8362,0.8283,0.1555,0.0791,0.9259,0.9333,1.0,0.889,0.571
A-core (8v),RF-calibrado,0.6813,0.65,0.7521,0.6466,0.7408,0.5806,0.1996,0.0618,0.9259,0.8,0.833,0.778,0.571
A-core (8v),protocolo + RF-calibrado,0.7473,0.725,0.8,0.6967,0.8224,0.8612,0.1672,0.0739,0.9259,0.9111,1.0,0.889,0.571
A-core (8v),ExtraTrees,0.7582,0.7179,0.8197,0.7109,0.8036,0.5335,0.1798,0.1226,0.9259,0.8222,0.958,0.833,0.633
A-core (8v),protocolo + ExtraTrees,0.7802,0.7464,0.8333,0.7264,0.8367,0.8237,0.1539,0.1012,0.9259,0.9556,1.0,0.889,0.633
A-core (8v),HistGB,0.5934,0.5679,0.6726,0.5719,0.5505,0.7613,0.2703,0.1952,0.6667,0.6,0.833,0.5,0.51
