conjunto,modelo,semilla,acc,bal_acc,f1_yes,ranking_proxy,auc,logloss,brier,ece,acc@30%,acc@50%,acc_None,acc_Negative,acc_Positive
A-core (8v),ExtraTrees,0,0.7582,0.7286,0.8136,0.7078,0.8321,0.8262,0.1552,0.0842,0.9259,0.9556,1.0,0.889,0.592
A-core (8v),ExtraTrees,1,0.7582,0.7286,0.8136,0.7078,0.8281,0.8259,0.155,0.0638,0.9259,0.9111,1.0,0.889,0.592
A-core (8v),ExtraTrees,2,0.7912,0.7607,0.8403,0.7343,0.848,0.8235,0.1536,0.1125,0.9259,0.9333,1.0,0.889,0.653
A-core (8v),ExtraTrees,3,0.7692,0.7375,0.8235,0.7171,0.8413,0.825,0.1544,0.0838,0.9259,0.9111,1.0,0.889,0.612
A-core (8v),ExtraTrees,4,0.7473,0.7196,0.8034,0.6984,0.8332,0.8281,0.1559,0.0612,0.9259,0.9111,1.0,0.889,0.571
A-core (8v),ExtraTrees,5,0.7802,0.7464,0.8333,0.7264,0.8337,0.8339,0.1583,0.1169,0.9259,0.9111,1.0,0.889,0.633
A-core (8v),ExtraTrees,6,0.7582,0.7286,0.8136,0.7078,0.8367,0.8245,0.1541,0.0573,0.9259,0.9111,1.0,0.889,0.592
A-core (8v),ExtraTrees,7,0.7363,0.7161,0.7895,0.687,0.8265,0.8317,0.1576,0.0916,0.9259,0.9111,1.0,0.889,0.551
A-core (8v),ExtraTrees,8,0.7473,0.7143,0.8067,0.7,0.8255,0.8319,0.1578,0.1032,0.9259,0.9111,1.0,0.889,0.571
A-core (8v),ExtraTrees,9,0.7582,0.7179,0.8197,0.7109,0.8352,0.8284,0.1559,0.0729,0.9259,0.8889,1.0,0.889,0.592
A-core+B(PCA8),ExtraTrees,0,0.7912,0.7714,0.8348,0.7315,0.8429,0.8134,0.1494,0.1168,0.9259,0.9556,1.0,0.889,0.653
A-core+B(PCA8),ExtraTrees,1,0.7473,0.725,0.8,0.6967,0.8459,0.816,0.1505,0.0528,0.9259,0.9556,1.0,0.889,0.571
A-core+B(PCA8),ExtraTrees,2,0.7912,0.7768,0.8319,0.73,0.8434,0.8165,0.1502,0.106,0.9259,0.9333,1.0,0.889,0.653
A-core+B(PCA8),ExtraTrees,3,0.7692,0.7429,0.8205,0.7156,0.8531,0.8109,0.1479,0.1209,0.9259,0.9333,1.0,0.889,0.612
A-core+B(PCA8),ExtraTrees,4,0.7912,0.7714,0.8348,0.7315,0.8418,0.8219,0.1525,0.1063,0.9259,0.9111,1.0,0.889,0.653
A-core+B(PCA8),ExtraTrees,5,0.7802,0.7571,0.8276,0.7235,0.8459,0.8212,0.1523,0.0522,0.9259,0.9111,1.0,0.889,0.633
A-core+B(PCA8),ExtraTrees,6,0.7473,0.7196,0.8034,0.6984,0.851,0.8133,0.1487,0.0675,0.9259,0.8889,1.0,0.889,0.571
A-core+B(PCA8),ExtraTrees,7,0.7473,0.7304,0.7965,0.6949,0.8423,0.8165,0.1505,0.0497,0.9259,0.9111,1.0,0.889,0.571
A-core+B(PCA8),ExtraTrees,8,0.7692,0.7375,0.8235,0.7171,0.8393,0.8235,0.1538,0.0847,0.9259,0.9333,1.0,0.889,0.612
A-core+B(PCA8),ExtraTrees,9,0.7802,0.7571,0.8276,0.7235,0.8561,0.8127,0.1486,0.0651,0.9259,0.9333,1.0,0.889,0.633
A-core (8v),GaussianNB,0,0.7582,0.7071,0.8254,0.7137,0.8531,1.1032,0.1799,0.1478,0.8889,0.9333,1.0,0.889,0.592
A-core (8v),GaussianNB,1,0.7582,0.7071,0.8254,0.7137,0.8612,1.0854,0.176,0.1452,0.8889,0.9333,1.0,0.889,0.592
A-core (8v),GaussianNB,2,0.7692,0.7107,0.8372,0.724,0.8459,1.1193,0.1816,0.1578,0.8889,0.9333,1.0,0.889,0.612
A-core (8v),GaussianNB,3,0.7143,0.65,0.8,0.6836,0.8342,1.1414,0.1934,0.1698,0.8889,0.9333,1.0,0.889,0.51
A-core (8v),GaussianNB,4,0.7253,0.675,0.8,0.6879,0.8485,1.1244,0.1829,0.1633,0.8889,0.9333,1.0,0.889,0.531
A-core (8v),GaussianNB,5,0.7033,0.6411,0.7907,0.6746,0.8378,1.1699,0.1954,0.1846,0.8889,0.9333,1.0,0.889,0.49
A-core (8v),GaussianNB,6,0.7363,0.6786,0.8125,0.6985,0.8515,1.1406,0.1928,0.1794,0.8889,0.9333,1.0,0.889,0.551
A-core (8v),GaussianNB,7,0.7473,0.6929,0.8189,0.7061,0.8306,1.1798,0.1922,0.173,0.8889,0.9333,1.0,0.889,0.571
A-core (8v),GaussianNB,8,0.7473,0.6982,0.816,0.7047,0.8378,1.1192,0.1858,0.1687,0.8889,0.9333,1.0,0.889,0.571
A-core (8v),GaussianNB,9,0.7692,0.7161,0.8346,0.7227,0.8454,1.1037,0.1789,0.1734,0.8889,0.9333,1.0,0.889,0.612
A-core+B(PCA8),GaussianNB,0,0.7582,0.7179,0.8197,0.7109,0.8423,1.1156,0.1787,0.1511,0.8889,0.9333,1.0,0.889,0.592
A-core+B(PCA8),GaussianNB,1,0.7692,0.7214,0.832,0.7214,0.8485,1.1093,0.1739,0.1254,0.8889,0.9333,1.0,0.889,0.612
